macro_regiao,estacao,exposicao,outcome,contrast,n_extreme,n_ref,mw_U,mw_p,cliffs_delta,mean_diff,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Medio Paraiba,inverno,ur_med,internacoes_i60_i69,P95_vs_P50,46,83,1680.5,0.25687203878757225,-0.11969617600838135,-0.15243583027763208,0.8281247817629196,1.0,False,False,False
Medio Paraiba,inverno,ur_med,internacoes_i60_i64,P05_vs_P50,41,83,2029.0,0.07858918975630684,0.19247722597707906,0.8098736409050837,0.4352632048041609,1.0,False,False,False
Medio Paraiba,inverno,ur_med,internacoes_i60_i64,P95_vs_P50,46,83,1522.0,0.053833002711218964,-0.20272393923520168,-0.6922472498690415,0.3750944705039773,1.0,False,False,False
Medio Paraiba,inverno,ur_med,obitos_i60_i69,P05_vs_P50,41,83,1765.5,0.7277331142768464,0.037613870114604764,0.14252130473111957,1.0,1.0,False,False,False
Medio Paraiba,inverno,ur_med,obitos_i60_i69,P95_vs_P50,46,83,1917.5,0.9676958868651949,0.004452592980618125,0.030644316396018834,1.0,1.0,False,False,False
Medio Paraiba,inverno,ur_med,obitos_i60_i64,P05_vs_P50,41,83,1646.5,0.760263734461373,-0.03232441962973846,0.013223626212165884,1.0,1.0,False,False,False
Medio Paraiba,inverno,ur_med,obitos_i60_i64,P95_vs_P50,46,83,1925.5,0.9333345422841927,0.008643268727082242,0.06783656364588797,1.0,1.0,False,False,False
Metropolitana I,verao,temp_med,internacoes_i60_i69,P95_vs_P50,202,47,4025.0,0.10436920371972207,-0.15209606066989678,-2.656309247946073,0.47965421283957377,1.0,False,False,False
Metropolitana I,verao,temp_med,internacoes_i60_i64,P95_vs_P50,202,47,3843.5,0.04201281555454595,-0.19033073520117968,-2.9755635137981855,0.37811533999091357,1.0,False,False,False
Metropolitana I,verao,temp_med,obitos_i60_i69,P95_vs_P50,202,47,5585.0,0.059126297110605124,0.17653254687170844,0.8949863071413517,0.3870084901785063,1.0,False,False,False
Metropolitana I,verao,temp_med,obitos_i60_i64,P95_vs_P50,202,47,5012.5,0.5499213814006441,0.055930061091215504,0.19549188961449282,0.8864404356905904,1.0,False,False,False
Metropolitana I,verao,ur_med,internacoes_i60_i69,P05_vs_P50,78,65,2079.5,0.06475127898811049,-0.17968441814595662,-2.005128205128205,0.3996078931837676,1.0,False,False,False
Metropolitana I,verao,ur_med,internacoes_i60_i69,P95_vs_P50,52,65,1648.5,0.8217226593605866,-0.024556213017751478,-0.9153846153846139,1.0,1.0,False,False,False
Metropolitana I,verao,ur_med,internacoes_i60_i64,P05_vs_P50,78,65,2039.0,0.04422568281746994,-0.19566074950690335,-2.389743589743592,0.3821098995429403,1.0,False,False,False
Metropolitana I,verao,ur_med,internacoes_i60_i64,P95_vs_P50,52,65,1624.5,0.7208630715265767,-0.03875739644970414,-0.953846153846154,1.0,1.0,False,False,False
Metropolitana I,verao,ur_med,obitos_i60_i69,P05_vs_P50,78,65,3081.0,0.02661333572730944,0.2153846153846154,1.8820512820512825,0.3025516061630968,1.0,False,False,False
Metropolitana I,verao,ur_med,obitos_i60_i69,P95_vs_P50,52,65,1531.5,0.3845076031565451,-0.09378698224852071,-0.5346153846153854,0.7690152063130902,1.0,False,False,False
