macro_regiao,exposicao,outcome,contrast,ext_days,ref_days,ext_pct_events,ref_pct_events,chi2,chi_p,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Baixada Litoranea,ur_med,obitos_i60_i64,P99_vs_P50,59,303,47.5,43.2,0.20670194011229784,0.6493647626651737,1.0,1.0,False,False,False
Centro-Sul,temp_med,internacoes_i60_i69,P05_vs_P50,234,191,77.8,85.3,3.4567173577833272,0.06299526187992259,0.5497768309520517,1.0,False,False,False
Centro-Sul,temp_med,internacoes_i60_i69,P95_vs_P50,234,191,84.6,85.3,0.0051168450329119805,0.9429742572821521,1.0,1.0,False,False,False
Centro-Sul,temp_med,internacoes_i60_i69,P01_vs_P50,59,191,86.4,85.3,0.0,1.0,1.0,1.0,False,False,False
Centro-Sul,temp_med,internacoes_i60_i69,P99_vs_P50,60,191,86.7,85.3,0.0019871922787270298,0.9644437305822449,1.0,1.0,False,False,False
Centro-Sul,temp_med,internacoes_i60_i64,P05_vs_P50,234,191,76.1,81.2,1.316531446674571,0.2512154975254183,1.0,1.0,False,False,False
Centro-Sul,temp_med,internacoes_i60_i64,P95_vs_P50,234,191,82.1,81.2,0.012616359526428585,0.9105676474922753,1.0,1.0,False,False,False
Centro-Sul,temp_med,internacoes_i60_i64,P01_vs_P50,59,191,86.4,81.2,0.5429708907039963,0.46120409430935283,1.0,1.0,False,False,False
Centro-Sul,temp_med,internacoes_i60_i64,P99_vs_P50,60,191,80.0,81.2,9.496827331162042e-05,0.9922246050457423,1.0,1.0,False,False,False
Centro-Sul,temp_med,obitos_i60_i69,P05_vs_P50,234,191,50.9,48.7,0.11987889448230324,0.7291658753509048,1.0,1.0,False,False,False
Centro-Sul,temp_med,obitos_i60_i69,P95_vs_P50,234,191,45.7,48.7,0.2615334428434355,0.6090686110075887,1.0,1.0,False,False,False
Centro-Sul,temp_med,obitos_i60_i69,P01_vs_P50,59,191,57.6,48.7,1.1047982245652066,0.29321550083032444,1.0,1.0,False,False,False
Centro-Sul,temp_med,obitos_i60_i69,P99_vs_P50,60,191,40.0,48.7,1.0586100060288335,0.3035324245290411,1.0,1.0,False,False,False
Centro-Sul,temp_med,obitos_i60_i64,P05_vs_P50,234,191,37.2,38.2,0.014298701954211051,0.9048180977911573,1.0,1.0,False,False,False
Centro-Sul,temp_med,obitos_i60_i64,P95_vs_P50,234,191,30.3,38.2,2.5723684323079707,0.10874481017183889,0.7283373332439442,1.0,False,False,False
Centro-Sul,temp_med,obitos_i60_i64,P01_vs_P50,59,191,47.5,38.2,1.236909527967212,0.2660674954860047,1.0,1.0,False,False,False
Centro-Sul,temp_med,obitos_i60_i64,P99_vs_P50,60,191,30.0,38.2,1.0028595326194314,0.3166195725595561,1.0,1.0,False,False,False
Centro-Sul,ur_med,internacoes_i60_i69,P05_vs_P50,234,289,82.5,85.5,0.655595195467184,0.41811932555739517,1.0,1.0,False,False,False
Centro-Sul,ur_med,internacoes_i60_i69,P95_vs_P50,234,289,75.6,85.5,7.507661149268851,0.00614370984963624,0.589796145565079,1.0,False,False,False
Centro-Sul,ur_med,internacoes_i60_i69,P01_vs_P50,59,289,72.9,85.5,4.718644067796609,0.029837262229231214,0.4522700801062416,1.0,False,False,False
Centro-Sul,ur_med,internacoes_i60_i69,P99_vs_P50,59,289,71.2,85.5,6.119002911504767,0.013373621491453146,0.35014572632168234,1.0,False,False,False
Centro-Sul,ur_med,internacoes_i60_i64,P05_vs_P50,234,289,79.9,83.4,0.8304344654366105,0.3621469288853778,1.0,1.0,False,False,False
Centro-Sul,ur_med,internacoes_i60_i64,P95_vs_P50,234,289,73.9,83.4,6.451505480317863,0.011085836629871764,0.3990901186753835,1.0,False,False,False
Centro-Sul,ur_med,internacoes_i60_i64,P01_vs_P50,59,289,72.9,83.4,2.9395991292898445,0.08643218094242464,0.6223117027854574,1.0,False,False,False
Centro-Sul,ur_med,internacoes_i60_i64,P99_vs_P50,59,289,66.1,83.4,8.248507221784967,0.00407855279679772,1.0,1.0,False,False,False
Centro-Sul,ur_med,obitos_i60_i69,P05_vs_P50,234,289,39.3,40.1,0.01023728274263378,0.9194080030820964,1.0,1.0,False,False,False
Centro-Sul,ur_med,obitos_i60_i69,P95_vs_P50,234,289,47.4,40.1,2.513940036451629,0.11284348540541396,0.6914664637608345,1.0,False,False,False
Centro-Sul,ur_med,obitos_i60_i69,P01_vs_P50,59,289,52.5,40.1,2.6023581617584766,0.10670483847037021,0.7316903209396814,1.0,False,False,False
Centro-Sul,ur_med,obitos_i60_i69,P99_vs_P50,59,289,57.6,40.1,5.418351149759279,0.019926168943718923,0.38258244371940336,1.0,False,False,False
Centro-Sul,ur_med,obitos_i60_i64,P05_vs_P50,234,289,28.2,28.4,0.0,1.0,1.0,1.0,False,False,False
Centro-Sul,ur_med,obitos_i60_i64,P95_vs_P50,234,289,35.5,28.4,2.695592838743226,0.10062605498208135,0.7068366788985226,1.0,False,False,False
Centro-Sul,ur_med,obitos_i60_i64,P01_vs_P50,59,289,45.8,28.4,6.10273713178893,0.013497266488597177,0.32393439572633226,1.0,False,False,False
Centro-Sul,ur_med,obitos_i60_i64,P99_vs_P50,59,289,39.0,28.4,2.138303421512617,0.14366069207350862,0.7806467795692544,1.0,False,False,False
Medio Paraiba,temp_med,internacoes_i60_i69,P05_vs_P50,234,248,97.9,96.0,0.8748985324398051,0.349602747836406,1.0,1.0,False,False,False
Medio Paraiba,temp_med,internacoes_i60_i69,P95_vs_P50,235,248,92.8,96.0,1.776390378345916,0.18259319259716345,0.8347117375870329,1.0,False,False,False
Medio Paraiba,temp_med,internacoes_i60_i69,P01_vs_P50,59,248,100.0,96.0,1.3460051754560367,0.24597771337129248,0.9977687528300315,1.0,False,False,False
Medio Paraiba,temp_med,internacoes_i60_i69,P99_vs_P50,59,248,96.6,96.0,0.0,1.0,1.0,1.0,False,False,False
Medio Paraiba,temp_med,internacoes_i60_i64,P05_vs_P50,234,248,96.6,93.1,2.23402034280943,0.1350021654822512,0.7623651697821243,1.0,False,False,False
Medio Paraiba,temp_med,internacoes_i60_i64,P95_vs_P50,235,248,90.2,93.1,1.0072101413875725,0.31557213170990545,1.0,1.0,False,False,False
Medio Paraiba,temp_med,internacoes_i60_i64,P01_vs_P50,59,248,98.3,93.1,1.4592698127155537,0.22704633691178144,0.9616080151557803,1.0,False,False,False
Medio Paraiba,temp_med,internacoes_i60_i64,P99_vs_P50,59,248,88.1,93.1,1.0373943691634453,0.30842824794607104,1.0,1.0,False,False,False
Medio Paraiba,temp_med,obitos_i60_i69,P05_vs_P50,234,248,78.2,77.8,0.0,1.0,1.0,1.0,False,False,False
Medio Paraiba,temp_med,obitos_i60_i69,P95_vs_P50,235,248,76.6,77.8,0.04528621638568668,0.8314786084625787,1.0,1.0,False,False,False
Medio Paraiba,temp_med,obitos_i60_i69,P01_vs_P50,59,248,83.1,77.8,0.4987683456076208,0.48004180088935844,1.0,1.0,False,False,False
Medio Paraiba,temp_med,obitos_i60_i69,P99_vs_P50,59,248,79.7,77.8,0.017406546197049275,0.8950365979674755,1.0,1.0,False,False,False
Medio Paraiba,temp_med,obitos_i60_i64,P05_vs_P50,234,248,63.7,59.3,0.8070977010639468,0.3689797098277824,1.0,1.0,False,False,False
Medio Paraiba,temp_med,obitos_i60_i64,P95_vs_P50,235,248,58.3,59.3,0.015728191193650435,0.9001973207957186,1.0,1.0,False,False,False
Medio Paraiba,temp_med,obitos_i60_i64,P01_vs_P50,59,248,64.4,59.3,0.3318783659936049,0.564555125865031,1.0,1.0,False,False,False
Medio Paraiba,temp_med,obitos_i60_i64,P99_vs_P50,59,248,59.3,59.3,0.0,1.0,1.0,1.0,False,False,False
Medio Paraiba,ur_med,internacoes_i60_i69,P05_vs_P50,234,328,95.3,97.3,1.0070444959257283,0.3156119289084627,1.0,1.0,False,False,False
Medio Paraiba,ur_med,internacoes_i60_i69,P95_vs_P50,235,328,93.6,97.3,3.5956159652112705,0.05793215587891324,0.538208415907323,1.0,False,False,False
