macro_regiao,exposicao,outcome,contrast,n_extreme,n_ref,median_extreme,median_ref,mean_extreme,mean_ref,std_extreme,std_ref,mw_U,mw_p,ks_stat,ks_p,bm_p_hat,bm_p,mood_stat,mood_p,cliffs_delta,hl_est,hl_ci_low,hl_ci_high,perm_p,kw_H,kw_p,jt_JT,jt_E,jt_p,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005,ks_fdr_bh,combined_signal
Baixada Litoranea,temp_med,obitos_i60_i64,P01_vs_P50,59,240,1.0,0.0,0.6949152542372882,0.625,0.7866306024320199,0.8761896674426909,7606.0,0.3243422686600409,0.06680790960451977,0.9720280786893221,0.5371468926553672,0.694919132878236,0.604300540193071,0.43694186364338117,0.07429378531073447,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,temp_med,obitos_i60_i64,P99_vs_P50,59,240,0.0,0.0,0.5084745762711864,0.625,0.6980088231177628,0.8761896674426909,6735.5,0.5142834475868113,0.036087570621468945,0.9999994297352613,0.4756709039548023,0.7952709134154299,0.11406603107344607,0.7355616685020039,-0.04865819209039548,0.0,0.0,0.0,,1.969057107631592,0.37361532494233707,45130.0,83538.0,1.9370014181236414e-38,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,ur_med,internacoes_i60_i69,P05_vs_P50,234,303,2.0,1.0,1.9145299145299146,1.5313531353135315,1.5307260417583175,1.3268640231845625,40317.5,0.005059238356484435,0.10171786409410166,0.11925320700757903,0.5686369919043186,0.16235283529364547,3.4338055894211976,0.06387475594307825,0.13727398380863728,0.0,0.0,1.0,,,,,,,0.6025425196172415,1.0,False,False,False,0.6025425196172415,False
Baixada Litoranea,ur_med,internacoes_i60_i69,P95_vs_P50,234,303,1.0,1.0,1.358974358974359,1.5313531353135315,1.4290127992915664,1.3268640231845625,32012.5,0.046546086237834204,0.09960226791909965,0.13370420601057253,0.45150348368170146,0.3227040714817065,1.0616296664895026,0.3028437899453829,-0.09699303263659699,0.0,0.0,0.0,,,,,,,0.6417801888507481,1.0,False,False,False,0.6417801888507481,False
Baixada Litoranea,ur_med,internacoes_i60_i69,P01_vs_P50,59,303,1.0,1.0,1.4576271186440677,1.5313531353135315,1.576544536167252,1.3268640231845625,8303.5,0.3737866823311231,0.07120881579683391,0.9456994500207981,0.46447949879733735,0.7426170836769495,0.1644601530575772,0.6850829223627743,-0.07104100240532528,0.0,-0.5249999999999897,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,ur_med,internacoes_i60_i69,P99_vs_P50,59,303,1.0,1.0,1.0338983050847457,1.5313531353135315,0.9736546858539031,1.3268640231845625,7115.0,0.01040765546094819,0.17435811377747934,0.08663640477965733,0.3979974268613302,0.34065223355665286,5.478562623585887,0.019251082693386982,-0.2040051462773396,0.0,-1.0,0.0,1.0,19.645283231738585,5.421019238202184e-05,62537.0,98280.0,1.7350515680707646e-26,0.5670746494668479,1.0,False,False,False,0.5670746494668479,False
Baixada Litoranea,ur_med,internacoes_i60_i64,P05_vs_P50,234,303,1.0,1.0,1.7777777777777777,1.4323432343234324,1.4856067919745364,1.2824829418169996,39913.5,0.009983596969436357,0.08305830583058293,0.3004804947250424,0.5629389862063129,0.19954250235632792,3.088458795358026,0.07884945777472345,0.12587797241262588,0.0,0.0,1.0,,,,,,,0.9833907100092297,1.0,False,False,False,0.9833907100092297,False
Baixada Litoranea,ur_med,internacoes_i60_i64,P95_vs_P50,234,303,1.0,1.0,1.2777777777777777,1.4323432343234324,1.385123099908212,1.2824829418169996,32203.0,0.0592652036067369,0.08602014047558604,0.26287939042942354,0.4541902908239542,0.3488341600809976,1.3185404318312621,0.25085416559440926,-0.09161941835209161,0.0,0.0,0.0,,,,,,,0.9346822770823949,1.0,False,False,False,0.9346822770823949,False
Baixada Litoranea,ur_med,internacoes_i60_i64,P01_vs_P50,59,303,1.0,1.0,1.3898305084745763,1.4323432343234324,1.5732612048640398,1.2824829418169996,8352.5,0.4105489715043802,0.06175532807518036,0.9846264279257438,0.4672204508586452,0.7612621785537187,0.2203000745615941,0.6388113716895314,-0.06555909828270963,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,ur_med,internacoes_i60_i64,P99_vs_P50,59,303,1.0,1.0,1.0,1.4323432343234324,0.9742446008949094,1.2824829418169996,7327.0,0.023220067605610455,0.16160429602282267,0.1339203607215484,0.40985623986127423,0.39941817932453677,4.765405525773673,0.029037218027867052,-0.18028752027745149,0.0,-1.0,0.0,1.0,17.191096707306638,0.00018492719448785728,62379.0,98280.0,1.0451611096888769e-26,0.6220816756097732,1.0,False,False,False,0.6220816756097732,False
