macro_regiao,exposicao,outcome,contrast,n_P05,n_P50,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005,cliffs_delta,cliffs_abs,cliffs_magnitude
Medio Paraiba,temp_med,internacoes_i60_i64,P95_vs_P50,,248,,3.0,,3.379032258064516,32590.5,0.03131838333225258,-0.37222953697608085,294.0,3.0,3.006802721088435,0.12188776215795598,1.0,False,False,False,-0.1060319289005925,0.1060319289005925,negligenciável
Medio Paraiba,temp_med,obitos_i60_i69,P05_vs_P50,293.0,248,2.0,1.0,1.7064846416382253,1.5524193548387097,38607.0,0.1956939474727375,0.1540652867995156,,,,0.4205959468070776,1.0,False,False,False,0.06261697676978972,0.06261697676978972,negligenciável
Medio Paraiba,temp_med,obitos_i60_i69,P95_vs_P50,,248,,1.0,,1.5524193548387097,36022.5,0.8055948622639588,-0.021807109940750635,294.0,1.0,1.530612244897959,0.9062942200469537,1.0,False,False,False,-0.011891046741277157,0.011891046741277157,negligenciável
Medio Paraiba,temp_med,obitos_i60_i64,P05_vs_P50,293.0,248,1.0,1.0,1.0341296928327646,0.9475806451612904,38094.0,0.30337373138611534,0.0865490476714742,,,,0.552985029362033,1.0,False,False,False,0.04849719255752505,0.04849719255752505,negligenciável
Medio Paraiba,temp_med,obitos_i60_i64,P95_vs_P50,,248,,1.0,,0.9475806451612904,35825.5,0.7120614154346481,-0.049621461487820984,294.0,1.0,0.8979591836734694,0.8544736985215776,1.0,False,False,False,-0.01729482115426816,0.01729482115426816,negligenciável
Medio Paraiba,ur_med,internacoes_i60_i69,P05_vs_P50,293.0,328,4.0,3.0,4.914675767918089,4.439024390243903,46687.5,0.5374708846152811,0.4756513776741862,,,,0.7587824253392205,1.0,False,False,False,-0.02839632065262632,0.02839632065262632,negligenciável
Medio Paraiba,ur_med,internacoes_i60_i69,P95_vs_P50,,328,,3.0,,4.439024390243903,47269.5,0.6695221240344749,0.12900282064045054,294.0,4.0,4.568027210884353,0.8240272295808921,1.0,False,False,False,-0.019630413140866103,0.019630413140866103,negligenciável
Medio Paraiba,ur_med,internacoes_i60_i64,P05_vs_P50,293.0,328,3.0,3.0,3.3003412969283277,3.548780487804878,44565.5,0.11366543732447096,-0.24843919087655042,,,,0.2922825531200682,1.0,False,False,False,-0.07255681345209357,0.07255681345209357,negligenciável
Medio Paraiba,ur_med,internacoes_i60_i64,P95_vs_P50,,328,,3.0,,3.548780487804878,46444.5,0.42313539539651523,-0.14401858304297344,294.0,3.0,3.4047619047619047,0.6695768894186614,1.0,False,False,False,-0.03674091587854654,0.03674091587854654,negligenciável
Medio Paraiba,ur_med,obitos_i60_i69,P05_vs_P50,293.0,328,1.0,2.0,1.522184300341297,1.6371951219512195,46082.5,0.36219621011581593,-0.1150108216099226,,,,0.6064680727520638,1.0,False,False,False,-0.0409868475817864,0.0409868475817864,negligenciável
Medio Paraiba,ur_med,obitos_i60_i69,P95_vs_P50,,328,,2.0,,1.6371951219512195,46536.0,0.4384748768060671,-0.09297743487638965,294.0,1.0,1.5442176870748299,0.6789288415061684,1.0,False,False,False,-0.03484320557491289,0.03484320557491289,negligenciável
Medio Paraiba,ur_med,obitos_i60_i64,P05_vs_P50,293.0,328,1.0,1.0,0.8532423208191127,0.9847560975609756,43982.0,0.05265354946310368,-0.13151377674186293,,,,0.1684913582819318,1.0,False,False,False,-0.08469990843253142,0.08469990843253142,negligenciável
Medio Paraiba,ur_med,obitos_i60_i64,P95_vs_P50,,328,,1.0,,0.9847560975609756,44239.5,0.05884747133093927,-0.09359963497594159,294.0,1.0,0.891156462585034,0.1765424139928178,1.0,False,False,False,-0.08247262319561971,0.08247262319561971,negligenciável
Metropolitana I,temp_med,internacoes_i60_i69,P05_vs_P50,293.0,247,24.0,21.0,24.911262798634812,22.275303643724698,43561.5,4.3774034469388916e-05,2.6359591549101147,,,,0.001050576827265334,0.006303460963592004,True,True,True,0.20383855411698057,0.20383855411698057,pequeno
Metropolitana I,temp_med,internacoes_i60_i69,P95_vs_P50,,247,,21.0,,22.275303643724698,33185.5,0.09648819234659455,9.04551546890329,293.0,20.0,31.320819112627987,0.2621565980737663,1.0,False,False,False,-0.0829061364358652,0.0829061364358652,negligenciável
Metropolitana I,temp_med,internacoes_i60_i64,P05_vs_P50,293.0,247,22.0,19.0,22.085324232081913,19.31578947368421,44859.5,1.5351140480085509e-06,2.769534758397704,,,,4.421128458264626e-05,0.0002210564229132313,True,True,True,0.23970927581489823,0.23970927581489823,pequeno
Metropolitana I,temp_med,internacoes_i60_i64,P95_vs_P50,,247,,19.0,,19.31578947368421,33343.5,0.11524363392223749,-1.3328543201005907,293.0,18.0,17.982935153583618,0.2911418120140737,1.0,False,False,False,-0.07853974658357629,0.07853974658357629,negligenciável
Metropolitana I,temp_med,obitos_i60_i69,P05_vs_P50,293.0,247,16.0,16.0,16.552901023890787,15.558704453441296,40381.0,0.01994441060058225,0.9941965704494908,,,,0.08974984770262012,1.0,False,True,False,0.11594423180555748,0.11594423180555748,negligenciável
