estratificacao,exposicao,contrast,n_extreme,n_ref,mean_extreme,mean_ref,mw_U,mw_p,cliffs_delta,sexo,faixa_etaria,desfecho,cid_grupo,macro_regiao,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
macro_regiao,temp_med,P95_vs_P50,229,246,6.213973799126638,6.073170731707317,26864.0,0.3806577500323407,-0.0462598075762417,,,,,Medio Paraiba,0.7900443868595751,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,234,247,40.82905982905983,37.60323886639676,35125.0,4.345460379594428e-05,0.21543998062216685,,,,,Metropolitana I,0.0023900032087769353,0.019120025670215483,True,True,True
macro_regiao,temp_med,P95_vs_P50,233,247,36.587982832618025,37.60323886639676,26972.0,0.23488018355013673,-0.06267484492015778,,,,,Metropolitana I,0.645920504762876,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,234,338,8.478632478632479,9.674556213017752,29998.5,8.154037239539624e-07,-0.24142770444545592,,,,,Metropolitana II,8.969440963493586e-05,0.00035877763853974344,True,True,True
macro_regiao,temp_med,P95_vs_P50,233,338,9.944206008583691,9.674556213017752,40902.5,0.42958416669734134,0.03874088935165198,,,,,Metropolitana II,0.8476100150082072,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,218,164,2.463302752293578,2.707317073170732,16432.5,0.16445038145131852,-0.08075072723204296,,,,,Noroeste,0.5205623585509362,1.0,False,False,False
macro_regiao,temp_med,P95_vs_P50,205,164,2.7463414634146344,2.707317073170732,16752.0,0.9538133995176777,-0.0034503271861986914,,,,,Noroeste,1.0,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,232,242,4.318965517241379,4.045454545454546,30488.0,0.10127855620190537,0.08606440581362211,,,,,Norte,0.42440537836988923,1.0,False,False,False
macro_regiao,temp_med,P95_vs_P50,226,242,3.8672566371681416,4.045454545454546,26802.5,0.7071953285167096,-0.019874936005265853,,,,,Norte,1.0,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,235,235,7.991489361702127,8.080851063829787,30393.5,0.05768414547659121,0.10071525577184247,,,,,Serrana,0.28518004505281047,1.0,False,False,False
macro_regiao,temp_med,P95_vs_P50,232,235,6.556034482758621,8.080851063829787,25850.5,0.33048910629126005,-0.05170579603815114,,,,,Serrana,0.7381482577063677,1.0,False,False,False
macro_regiao,ur_med,P05_vs_P50,147,203,1.6258503401360545,1.7438423645320198,14006.5,0.27018784646382177,-0.061258000737240706,,,,,Baia da Ilha Grande,0.683233634736101,1.0,False,False,False
