estratificacao,exposicao,contrast,n_P05,n_P50,sexo,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,faixa_etaria,desfecho,cid_grupo,macro_regiao,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
sexo_faixa_etaria,temp_med,P05_vs_P50,2639.0,2189,1,0.0,0.0,0.129973474801061,0.13202375513933304,2872852.5,0.5508901358590055,-0.002050280338272037,,,,<40,,,,0.7381927820510673,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,,2189,1,,0.0,,0.13202375513933304,2862015.0,0.3959933120858209,0.041790286606397525,2635.0,0.0,0.17381404174573056,<40,,,,0.6317036168988095,1.0,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2639.0,2189,1,0.0,0.0,0.8059871163319439,0.788031064412974,2852889.0,0.39670977768430815,0.017956051918969873,,,,40-59,,,,0.6278635064137476,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,,2189,1,,0.0,,0.788031064412974,2845668.5,0.3598559782497561,0.15504293938209246,2635.0,0.0,0.9430740037950665,40-59,,,,0.6182141164803503,1.0,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2639.0,2189,1,1.0,1.0,1.5911330049261083,1.5888533576975787,2806851.5,0.07314338382713155,0.00227964722852958,,,,60-79,,,,0.25792666928514807,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,,2189,1,,1.0,,1.5888533576975787,2830280.0,0.2379324648203135,0.32955271440868317,2635.0,1.0,1.918406072106262,60-79,,,,0.4782442542888301,1.0,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2639.0,2189,1,0.0,0.0,0.38802576733611216,0.39744175422567385,2878276.0,0.7825178270819872,-0.00941598688956169,,,,80+,,,,0.9091681112339851,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,,2189,1,,0.0,,0.39744175422567385,2833429.5,0.16294203716221023,0.016599991504876455,2635.0,0.0,0.4140417457305503,80+,,,,0.40433764777289205,1.0,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2639.0,2189,3,0.0,0.0,0.13641530882910194,0.12654179990863407,2896259.0,0.7652424909250551,0.009873508920467872,,,,<40,,,,0.8942659341624192,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,,2189,3,,0.0,,0.12654179990863407,2926294.0,0.11747308159606262,0.018809243734629694,2635.0,0.0,0.14535104364326376,<40,,,,0.3632629138585936,1.0,False,False,False
